Open time,Open,High,Low,Close,Volume,Trade count,VWAP
2023-05-30 16:00:00,351.46,351.55,349.89,351.2,9453681.0,58844,350.705
2023-05-30 17:00:00,351.2,351.215,348.7,348.8699,6269915.0,57255,349.8978
2023-05-30 18:00:00,348.88,351.11,348.53,350.6295,6987901.0,61626,349.9487
2023-05-30 19:00:00,350.62,350.75,349.36,349.96,9051782.0,76739,350.0588
2023-05-31 14:00:00,349.52,349.91,347.04,347.92,10605410.0,98039,348.1966
2023-05-31 15:00:00,347.92,348.01,346.51,347.45,6585403.0,51184,347.2069
2023-05-31 16:00:00,347.46,347.9,346.53,347.155,4764736.0,40207,347.2183
2023-05-31 17:00:00,347.16,349.23,346.97,348.79,5757332.0,46550,348.3324
2023-05-31 18:00:00,348.77,349.12,347.8499,348.341,8033379.0,39785,348.7902
2023-05-31 19:00:00,348.35,349.01,347.47,347.66,17704454.0,97985,348.2594
2023-06-01 14:00:00,348.07,349.84,347.17,349.22,9566677.0,92432,348.5634
2023-06-01 15:00:00,349.23,350.82,348.92,350.81,5163417.0,55691,349.9821
2023-06-01 16:00:00,350.805,351.85,350.0027,351.76,4687510.0,45315,351.4315
2023-06-01 17:00:00,351.77,352.355,351.34,352.35,4685604.0,40813,351.4107
2023-06-01 18:00:00,352.35,352.95,352.0699,352.78,5811965.0,44743,352.2908
2023-06-01 19:00:00,352.7799,353.36,351.06,352.05,9997050.0,79585,352.0329
2023-06-02 14:00:00,352.3,354.98,352.01,354.8505,9791725.0,93241,353.3576
2023-06-02 15:00:00,354.87,355.3,354.21,354.85,6354477.0,54466,354.8159
2023-06-02 16:00:00,354.855,355.36,354.06,355.0,4857873.0,37368,354.5587
2023-06-02 17:00:00,355.0099,355.3,354.61,354.83,3145706.0,30846,354.9189
2023-06-02 18:00:00,354.85,355.11,353.88,354.85,4457081.0,32533,354.3746
2023-06-02 19:00:00,354.86,355.2,354.3401,354.64,8428381.0,64922,354.7381
2023-06-05 14:00:00,355.21,356.935,354.97,356.765,8035609.0,70644,355.7694
2023-06-05 15:00:00,356.79,357.34,356.27,356.8799,5163105.0,44836,356.7667
2023-06-05 16:00:00,356.89,357.44,356.3404,357.41,3908952.0,36195,357.0178
2023-06-05 17:00:00,357.41,357.495,355.45,355.99,5017705.0,46894,356.5403
2023-06-05 18:00:00,356.015,356.1399,353.86,355.41,7365789.0,65206,354.9208
2023-06-05 19:00:00,355.41,355.54,353.85,354.9,8260692.0,71845,354.8559
2023-06-06 14:00:00,353.93,355.41,353.4401,355.05,6874257.0,58581,354.4655
2023-06-06 15:00:00,355.07,355.62,353.8,355.51,6046677.0,43139,354.8928
2023-06-06 16:00:00,355.52,355.82,353.49,353.61,4617519.0,35272,354.652
